Gene stable ID	GO term accession
BRADI1G00990	GO:0045860
BRADI1G00990	GO:0004674
BRADI1G00990	GO:0046777
BRADI1G00990	GO:0005515
BRADI1G00990	GO:0046777
BRADI1G00990	GO:0004674
BRADI1G00990	GO:0042149
BRADI1G00990	GO:0030295
BRADI1G01000	GO:0006633
BRADI1G01000	GO:0006633
BRADI1G01007	GO:0003677
BRADI1G01007	GO:0005634
BRADI1G01007	GO:0006310
BRADI1G01007	GO:0004003
BRADI1G01007	GO:0016817
BRADI1G01007	GO:0000723
BRADI1G01007	GO:0003684
BRADI1G01007	GO:0006303
BRADI1G01007	GO:0042162
BRADI1G01007	GO:0043564
BRADI1G01007	GO:0015074
BRADI1G01007	GO:0003690
BRADI1G01007	GO:0006342
BRADI1G01007	GO:0016572
BRADI1G01007	GO:0006302
BRADI1G01007	GO:0051567
BRADI1G01007	GO:0005515
BRADI1G01007	GO:0043564
BRADI1G01007	GO:0006303
BRADI1G01007	GO:0042162
BRADI1G01007	GO:0016817
BRADI1G01007	GO:0003684
BRADI1G01007	GO:0016572
BRADI1G01007	GO:0015074
BRADI1G01007	GO:0004003
BRADI1G01007	GO:0006310
BRADI1G01007	GO:0000723
BRADI1G01007	GO:0006342
BRADI1G01007	GO:0051567
BRADI1G01007	GO:0003690
BRADI1G01007	GO:0005524
BRADI1G01007	GO:0003677
BRADI1G01007	GO:0005634
BRADI1G01014	GO:0006810
BRADI1G01014	GO:0015031
BRADI1G01014	GO:0006810
BRADI1G01014	GO:0016020
BRADI1G01021	GO:0009073
BRADI1G01021	GO:0016226
BRADI1G01021	GO:0045036
BRADI1G01021	GO:0010103
BRADI1G01021	GO:0005515
BRADI1G01021	GO:0009793
BRADI1G01021	GO:0045036
BRADI1G01021	GO:0016226
BRADI1G01021	GO:0010103
BRADI1G01021	GO:0009793
BRADI1G01021	GO:0009073
BRADI1G01030	GO:0003677
BRADI1G01030	GO:0003682
BRADI1G01030	GO:0003682
BRADI1G01030	GO:0003677
BRADI1G01040	GO:0005524
BRADI1G01040	GO:0000166
BRADI1G01040	GO:0017111
BRADI1G01040	GO:0005524
BRADI1G01047	
BRADI1G01060	
BRADI1G01070	
BRADI1G01080	GO:0003674
BRADI1G01090	GO:0046872
BRADI1G01090	GO:0008270
BRADI1G01090	GO:0005096
BRADI1G01090	GO:0008270
BRADI1G01100	GO:0051604
BRADI1G01100	GO:0006626
BRADI1G01100	GO:0001510
BRADI1G01100	GO:0000398
BRADI1G01100	GO:0051604
BRADI1G01100	GO:0001510
BRADI1G01100	GO:0006626
BRADI1G01100	GO:0000398
BRADI1G01110	GO:0000166
BRADI1G01110	GO:0003676
BRADI1G01110	GO:0009560
BRADI1G01110	GO:0006312
BRADI1G01110	GO:0006312
BRADI1G01110	GO:0009560
BRADI1G01110	GO:0000166
BRADI1G01110	GO:0003676
BRADI1G01120	GO:0003723
BRADI1G01120	GO:0004525
BRADI1G01120	GO:0006396
BRADI1G01120	GO:0051607
BRADI1G01120	GO:0010267
BRADI1G01120	GO:0035196
BRADI1G01120	GO:0005773
BRADI1G01120	GO:0016075
BRADI1G01120	GO:0051607
BRADI1G01120	GO:0004525
BRADI1G01120	GO:0005773
BRADI1G01120	GO:0035196
BRADI1G01120	GO:0010267
BRADI1G01120	GO:0006396
BRADI1G01120	GO:0003723
BRADI1G01130	GO:0003677
BRADI1G01130	GO:0003700
BRADI1G01130	GO:0006355
BRADI1G01130	GO:0043565
BRADI1G01130	GO:0005634
BRADI1G01130	GO:0009408
BRADI1G01130	GO:0009408
BRADI1G01130	GO:0006355
BRADI1G01130	GO:0043565
BRADI1G01130	GO:0005634
BRADI1G01130	GO:0003700
BRADI1G01130	GO:0003677
BRADI1G01130	GO:0003700
BRADI1G01130	GO:0006355
BRADI1G01130	GO:0043565
BRADI1G01130	GO:0005634
BRADI1G01130	GO:0009408
BRADI1G01130	GO:0009408
BRADI1G01130	GO:0006355
BRADI1G01130	GO:0043565
BRADI1G01130	GO:0005634
BRADI1G01130	GO:0003700
BRADI1G01140	GO:0016787
BRADI1G01150	GO:0005618
BRADI1G01150	GO:0005975
BRADI1G01150	GO:0048046
BRADI1G01150	GO:0004553
BRADI1G01150	GO:0006073
BRADI1G01150	GO:0016762
BRADI1G01150	GO:0010411
BRADI1G01150	GO:0042546
BRADI1G01150	GO:0005618
BRADI1G01150	GO:0016762
BRADI1G01150	GO:0048046
BRADI1G01150	GO:0071555
BRADI1G01150	GO:0004553
BRADI1G01150	GO:0006073
BRADI1G01150	GO:0005975
BRADI1G01160	
BRADI1G01170	GO:0003950
BRADI1G01170	GO:0003950
BRADI1G01170	GO:0003950
BRADI1G01170	GO:0003950
BRADI1G01170	GO:0003950
BRADI1G01170	GO:0003950
BRADI1G01180	GO:0005524
BRADI1G01180	GO:0000166
BRADI1G01180	GO:0017111
BRADI1G01180	GO:0005524
BRADI1G01190	GO:0003824
BRADI1G01190	GO:0008152
BRADI1G01190	GO:0016788
BRADI1G01190	GO:0008152
BRADI1G01190	GO:0003824
BRADI1G01190	GO:0016788
BRADI1G01200	GO:0016787
BRADI1G01210	
BRADI1G01220	GO:0015996
BRADI1G01220	GO:0008150
BRADI1G01220	GO:0015996
BRADI1G01227	GO:0001510
BRADI1G01227	GO:0005739
BRADI1G01227	GO:0008150
BRADI1G01227	GO:0001510
BRADI1G01227	GO:0005739
BRADI1G01240	GO:0005524
BRADI1G01240	GO:0000166
BRADI1G01240	GO:0017111
BRADI1G01240	GO:0005524
BRADI1G01250	GO:0043531
BRADI1G01250	GO:0006952
BRADI1G01250	GO:0043531
BRADI1G01257	GO:0043531
BRADI1G01257	GO:0006952
BRADI1G01257	GO:0043531
BRADI1G01270	GO:0005886
BRADI1G01270	GO:0005886
BRADI1G01270	
BRADI1G01280	GO:0005515
BRADI1G01280	GO:0008150
BRADI1G01290	
BRADI1G01300	GO:0003677
BRADI1G01300	GO:0043565
BRADI1G01300	GO:0005622
BRADI1G01300	GO:0005634
BRADI1G01300	GO:0046982
BRADI1G01300	GO:0046982
BRADI1G01300	GO:0045893
BRADI1G01300	GO:0043687
BRADI1G01300	GO:0006355
BRADI1G01300	GO:0003700
BRADI1G01300	GO:0043687
BRADI1G01300	GO:0045893
BRADI1G01300	GO:0043565
BRADI1G01300	GO:0005634
BRADI1G01300	GO:0003700
BRADI1G01310	
BRADI1G01320	GO:0006364
BRADI1G01320	GO:0008150
BRADI1G01320	GO:0005575
BRADI1G01320	GO:0006364
BRADI1G01330	GO:0009507
BRADI1G01330	GO:0009507
BRADI1G01340	GO:0003950
BRADI1G01340	GO:0003950
BRADI1G01350	GO:0003700
BRADI1G01350	GO:0006355
BRADI1G01350	GO:0005634
BRADI1G01350	GO:0009408
BRADI1G01350	GO:0009408
BRADI1G01350	GO:0005634
BRADI1G01350	GO:0003700
BRADI1G01360	GO:0005524
BRADI1G01360	GO:0000166
BRADI1G01360	GO:0017111
BRADI1G01360	GO:0005524
BRADI1G01365	GO:0008380
BRADI1G01365	GO:0008380
BRADI1G01370	GO:0005524
BRADI1G01370	GO:0004672
BRADI1G01370	GO:0004674
BRADI1G01370	GO:0006468
BRADI1G01370	GO:0016772
BRADI1G01370	GO:0006468
BRADI1G01370	GO:0004672
BRADI1G01370	GO:0005524
BRADI1G01377	GO:0043531
BRADI1G01377	GO:0006952
BRADI1G01377	GO:0043531
BRADI1G01387	GO:0043531
BRADI1G01387	GO:0006952
BRADI1G01387	GO:0043531
BRADI1G01397	GO:0043531
BRADI1G01397	GO:0006952
BRADI1G01397	GO:0043531
BRADI1G01407	GO:0043531
BRADI1G01407	GO:0006952
BRADI1G01407	GO:0043531
BRADI1G01420	GO:0005524
BRADI1G01420	GO:0000166
BRADI1G01420	GO:0017111
BRADI1G01420	GO:0009744
